,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
ms,0.459587927364919,1.014128579511991,-1.321665738648083,0.8446826976099476,-0.1152247609623344,0.7972025274784742,-0.050894724011766444,-0.2933108799107373,-0.037696778882288305,0.09866167786152803,-0.694984904902375,0.07157149559342585,1.4943133489018865,-0.11742689028631838,0.19019077619914213,0.07058908328033849,-0.3965021362360421,0.004876599806295973,0.06335300127365934,-0.2703946477778754,0.06965887532431757
sb,3.4895221642592102,1.723940607510616,-0.4112033611536636,1.7037709635006162,0.4760762530032948,1.1363615109393124,2.3068993310518913,0.9280563966860049,-0.3578732901800214,-1.268513602594596,-0.05662699509557315,-0.43946614901559106,0.009852028911765145,-0.19333387449908415,-0.030311696448487187,-0.04645711538661956,0.20399408361565904,-0.3885571700628078,-0.2706321063931005,-0.006835597154533291,0.11352289151623426
bc,-0.7492306535144053,-0.17743139237596892,0.4630246796352386,-1.1628052397513426,1.4645148247008104,0.283707431030659,0.43154183015007047,1.1283707387318627,-0.6359166854580018,-0.2930678250945044,0.259813359399888,0.6763451161841378,0.2540852297955921,-0.3129538475420325,0.6700041827958472,0.19668209755416294,0.4536799081320688,-0.051455919697315666,0.05416819073767442,0.050511042038383615,-0.05466364478614014
bt,-3.622006563259589,0.5339793193351899,0.014762638705759945,-0.10654088026970034,0.4790875259538576,-0.18586263664285427,0.329817145254334,-1.5753348179390982,-0.5743425006449024,-0.41893841944160215,-0.39141629750922924,0.6834431226827096,-0.032066722665259256,0.04791790330354293,0.6364506132593089,-0.030200815318559737,-0.37847556426928564,0.04030686907555426,0.12041222333483141,0.13510911225846414,-0.04294358092425388
is,1.2265351057224743,-0.6748326248257159,0.45472971363414394,-2.995646873473944,-0.32097516621236805,-0.6305773292246608,1.119413697184248,-1.208570896992944,-0.5277896122996609,0.6349044625925635,-1.391319332536092,-0.019657399421803043,-0.07906716160544949,-0.04617039915672595,0.06824517774345859,0.025187977352815083,0.24421646396240027,-0.1972028670327593,-0.3445351296216345,0.0774627627583016,0.09842498042744438
nt,-1.6797305820682833,0.2890332081301388,-0.03077946396579146,-0.7438902372528309,1.4714048196307348,0.6209466545757107,-0.9400627894823511,0.2558982537073816,-1.0085129020040524,-0.14670193792168648,-0.0007157333710763887,0.39315016062425423,-0.13709247737298966,0.05063339838001686,-0.07456966074977996,0.32062291190624626,0.4317106034014328,0.06120951061581556,0.015005820761547488,-0.11111473438198398,-0.19144592177929232
sv,-2.0753752932618643,-0.8715573487687395,0.154279388674311,-0.4442999581416611,0.042153700563289334,0.15732763792299523,-0.8690621609471186,-0.41412362661440744,-0.8715323642844435,-0.27772392813318336,-0.07997816548618536,-0.1268426419345617,-0.6411483522623496,0.22049836887163113,-0.28142461994452406,0.43995447833881784,-0.46023260085176115,0.07398454254589848,-0.11794389000243782,-0.06356576701647043,-0.04523440879066197
vs,-3.4885214549365386,0.06672650807260873,-1.1132614782698547,-1.8694630403623524,0.72871796636325,-0.04051684074502763,0.457884179490209,0.7884973596729123,1.209999091695774,0.12673091410466736,-0.16281830121656723,1.0816897404294314,0.6491227234998496,0.5293132750781124,-0.5016074935904327,0.7206543084220692,-0.2112615084791796,-0.20060321623862534,0.03165583109091255,0.0641951875869582,0.1179086105632905
br,-1.4895718983784751,-0.0412434742373298,-0.059170178322698094,-0.23801780812202017,0.8744493168782044,0.47259166974357764,0.5643862802737672,-1.290416821918046,-0.1609913299516568,0.6101640292626339,1.2555410701041674,0.08003470765503266,-0.670349658586646,0.012614716620367937,-0.7269533888804737,-0.6545444184518775,-0.2563322984546906,-0.15391065295890316,0.09603117490780405,-0.22196498938794804,0.06738447629446354
bz,-1.7305359163258014,-0.7857351355043711,0.2548422883622727,-0.1653243220635717,-0.10089239053068906,0.19112729381831375,0.167904737334097,0.16946743776450207,-0.384269512221236,0.14794444506194868,-0.07198683126339968,0.25984708991479755,0.19772980450704933,-0.5400721811978632,-0.708527625093957,-0.28707211239526653,0.11278840217092313,-0.08883865366178685,0.17669823402183266,0.03317961460636962,0.1598696316189974
ct,2.9854350979880997,2.7617737777294775,5.840366566404423,-1.4433157569034956,-1.3826931444142547,1.2737422592198546,-1.294651882587242,-0.24594872081854222,0.9820958090196671,0.2914207533084598,0.366999665535423,0.3413668333651043,0.21165569751807933,-0.21617703097033453,-0.1886116984103909,0.1018069177515297,-0.039884141653478505,0.0028210455529988814,0.08055201162943923,-0.0135671040540296,0.0826246296090869
gl,-0.5362298494186989,-0.6921714101162763,-1.0182450112361796,-2.411218656741336,1.286130741908185,-0.1432459367579188,-0.6703341417663428,0.1552898626814048,0.6922914328798497,0.29778227490502907,0.023426317288746258,-0.9638079979545496,-0.18185389027691773,0.23479683192867543,0.2522373385259662,-0.3205000117239516,-0.34062299772101057,-0.08100587589639867,0.12996853021833896,-0.016856581286867997,0.2280038117187116
tl,-1.9868873756277114,0.6548985000854921,1.0939657892122447,0.6207314395182566,0.07075675911988448,-0.5010088636473721,0.3148167887563442,-0.01457261786979099,1.312874360298382,-0.7893208175810131,-0.5430239579563854,-0.3775764501139207,-0.5869386693094703,0.4365485134682491,0.7436616853952751,-0.552973423763715,0.03327750737693879,-0.0398019683543698,0.07047766779713865,-0.10363680124864852,-0.06683082933130186
vn,-2.2868794841125055,-0.39954291153696186,1.016867495852347,0.45169504973191843,2.0653465685686125,-0.29684306009457734,0.1771136730458062,0.6316216583723367,0.49093019199260907,-0.4391569865139309,0.0656332026964501,0.3617435579934946,-0.5313725776379153,-0.02360093400304801,-0.7533134769852448,-0.10738278011058336,-0.07973080355649849,-0.016456071589262492,-0.10328494706389177,-0.07552828448100847,-0.2291885364942298
ag,0.9460945031435575,-2.075573903425519,-0.4301660695461718,-0.6677934751764663,-1.015211350040645,-0.09305206156292065,-0.07989141740113151,-1.0224942764643208,-0.4481595838136674,0.0900446907421321,-0.059934158656152356,-0.29071968760655503,-0.5774877564504242,0.7392203609658983,0.22313349129113721,0.3420183658177032,0.285252420734563,0.3085373897039618,0.1541940295594757,0.02437111459447351,0.09344449489047257
