,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
Belgium,-0.14503538336167643,-0.5547754940415336,-0.4461406769823932,-0.07479229586533516,-0.382029757488632,-0.7069536368614334,0.4929168078687236,0.8670591912430565,-1.6976611489008757,0.1648549042482065,1.085327482083094,0.1699829304045859,-0.9623570710799866,-0.34153265059158094
Bulgaria,0.40634426567957654,1.336486579888708,0.3150009845413656,-0.27409823285315954,-0.6314435126102114,0.6714784447210754,-0.5737096701159957,-1.6965912937883918,-1.1484606176314571,-0.9737718778042369,0.8394250186890291,-0.7079478706165451,-0.2016751495675085,1.493052446528334
Czech Republic,0.5357193726103412,0.9647744310128813,-0.18573890779791424,-0.6810336668282252,-0.15277061463489716,0.3945823864640023,0.22072537864228794,1.6979191112876515,0.7493099565879835,0.9506350308616828,-0.865241452418778,-0.6076195886711295,1.2880138999183184,-0.727261710671713
Denmark,-0.45456215048069026,-0.7354105628971331,-1.7237551201970291,0.673316131728722,1.544784562345853,-0.1912098280062013,0.9189396725271656,-0.6912545809498106,1.2188095058602126,-1.4242057735171216,-0.30644634304459195,-2.1713317763170523,0.5565021441211391,-0.06836443037999662
Germany,-0.4697046445642389,-0.5222837499040159,-0.6799691750926317,0.04613393767318605,0.9773157513955366,1.3235580656076704,-0.8425600461743947,-0.7148751971941475,0.07568340330191319,0.49053341394470207,0.08686031050791335,-0.5158518223390707,0.29391107311212716,0.3552639283670888
Estonia,1.2639955414920554,-1.154814720070512,1.211563492748039,1.3249781653652926,0.2332961501576187,-1.0943475509026432,-0.7825398097030748,-1.0449118724931241,0.37823262751533676,0.6649105275739978,-1.3523398986410322,-0.47593270513036384,-2.258873737971338,-1.761806191390841
Ireland,-0.7651052947589401,0.4358399852639158,-0.5928534779152104,0.3407110132045441,-0.9292817089119172,-1.3117363847729449,-0.7693317628165062,0.40921671017431827,1.2309499685906988,-0.40247533759142345,0.37461589653228894,-0.3005345632835871,-0.05174379865515185,-1.3679955077970654
Greece,-0.4497990291095808,0.9582068710807049,0.5406010386009757,-0.6077092919902917,-0.27427057186429055,-0.6868294216602904,-0.8706660651734425,-1.860176416510593,-1.2872202694067103,-2.0072380368083853,-1.4086598801501133,1.5583370642212067,1.8577613823107992,-0.3930395690654273
Spain,-0.8244990604926401,0.3825708218413544,0.7187495026191462,-0.022715384466182105,-0.3846368084183364,-0.9731030384967976,-0.46157379386632963,-1.2331672498977364,0.2147002540295005,0.5765539800217222,0.13820375066329288,-0.5242019054270449,1.0087479159989572,0.2326998833850754
France,-0.3537109540245586,-0.5805660953376068,-0.08498634482400527,-0.8051908718568356,0.07411312015929515,-0.884858586444192,0.19844344810690287,-0.25741187975439744,-0.8259498697976104,0.835678906614029,0.041014981524107645,-0.10023493766196871,-0.2728277940326322,2.035456535681065
Croatia,1.3205927144100005,0.35272392505266503,-0.7979531848281146,-1.4029486496355865,0.9415880419410799,0.2536782360884282,0.9216332123152068,0.5592714965924844,0.4883159844596097,0.9091792279490167,-1.496707877551797,2.206531755172117,-0.36589974019246946,0.20746444399288683
Italy,-0.6753722469443451,0.7488758354436292,0.7343080472618677,-0.39071705400782136,0.19173996282771544,-0.5244321318983731,-0.5487845891021301,-0.8053732297917396,0.15019817477196548,0.5490974697119679,-1.2027780280435592,0.3689771598939089,0.9713369274384296,-0.9551666250156112
Cyprus,-0.5924323532513392,1.4912581568889214,1.6709089665150916,-1.0097613494233995,1.4932407583547098,1.0280178833972666,0.8689844703419569,0.820378969434444,-0.23166711625119119,-0.0002160939484517336,-0.944867805966194,-0.805599093131324,-1.5234610128776611,-1.5998393176914862
Latvia,2.2994869102450397,-1.3533165015833148,2.2479830731650954,1.7547830275514211,1.6233454395404452,-0.3610839426110762,0.3719850444858996,-0.12442234770486905,0.44841879051232825,-1.3043985697586886,-0.8221692451984448,-0.0409049211860537,0.536616089325176,1.6615157096959903
Lithuania,2.564341184393476,-0.950013796978915,0.8782737851700412,-0.9717152554236511,-1.4320353671457915,0.3682296572517184,-1.8121328560139003,2.3333716766395454,-0.7471617280518391,-0.7698118229677535,1.2840229833941932,-0.548747356442305,0.7167479887465344,-0.6118049552751327
Luxembourg,-0.3891459181457734,-0.7316104382975107,-0.027634109727322113,-0.23930167899829852,0.5545319900573481,0.35851144874295754,-0.07355256490019618,-0.03448412018405946,-1.4965315435443682,0.5123777846286576,0.0458335852706759,0.7509451089597189,0.12179287664696753,-0.9161958452985959
Hungary,1.6670221381823098,0.5183121624040996,-1.000318096739734,-1.0218885559130935,-0.2473840852845299,0.5653651011317684,-0.8177563778608682,-0.9994342698282469,2.014871298681305,0.29782414324527756,0.5843878479896355,0.783587034572286,-0.32903611952573625,1.1922520422789247
Malta,-0.9082913780203156,1.121801788160655,0.5333100797194604,0.11857991598179313,0.6506524418799426,0.06080910953485315,-1.4732013669991986,0.7137682645646561,1.1745155671547398,0.2828279116660168,0.5769685778613728,-1.8195608119584878,0.04371727805145638,0.8161598580291384
